Question_ID,Question_Category_Korean,Question_Category_English,Prompt_Korean
C002,텍스트 요약,Text Summarization,"최근 발표된 '기후 변화에 관한 정부 간 협의체(IPCC) 제6차 평가보고서 중 제1실무그룹 보고서(물리과학적 근거)'의 주요 결론과 정책적 시사점을, 기후변화에 대해 비전문가인 일반 대중이 이해하기 쉽게 500자 내외로 요약하시오. 특히, 보고서가 강조하는 지구 온난화의 현재 상태와 미래 전망, 그리고 인간 활동의 영향에 초점을 맞추시오. (참고: 실제 평가 시 IPCC 보고서 요약본 또는 핵심 내용 발췌 제공 필요)"
C003,텍스트 요약,Text Summarization,"제임스 조이스의 소설 '율리시스' 중 몰리 블룸의 독백 부분을 읽고, 이 독백이 의식의 흐름 기법을 어떻게 활용하고 있으며, 이를 통해 드러나는 몰리 블룸의 내면세계와 욕망, 그리고 작품 전체 주제와의 연관성을 300자 이내로 분석적으로 요약하시오. (참고: 실제 평가 시 '율리시스' 몰리 블룸 독백 일부 텍스트 제공 필요)"
C004,텍스트 요약,Text Summarization,"다음은 미셸 푸코의 '감시와 처벌' 중 판옵티콘에 관한 장의 일부입니다. 푸코가 설명하는 판옵티콘의 작동 원리와 그것이 상징하는 규율 권력의 특성을 분석하고, 현대 사회에서 판옵티콘적 감시가 어떤 형태로 나타나는지 예시를 들어 300자 이내로 요약하시오. (참고: 실제 평가 시 '감시와 처벌' 해당 부분 텍스트 제공 필요)"
C005,텍스트 요약,Text Summarization,"다음은 복잡한 특허 분쟁에 관한 법원 판결문의 일부입니다. 이 판결의 핵심 쟁점, 양측의 주요 주장, 법원의 판단 근거, 그리고 최종 판결 내용을 법률 비전문가가 이해할 수 있도록 400자 이내로 요약하시오. 특히, 판결이 관련 산업에 미칠 수 있는 잠재적 영향을 포함하시오. (참고: 실제 평가 시 가상의 판결문 일부 텍스트 제공 필요)"
C006,텍스트 요약,Text Summarization,"다음은 특정 질병의 새로운 치료법에 대한 임상시험 결과를 다룬 의학 논문의 초록(abstract)입니다. 이 연구의 배경, 목적, 방법론, 주요 결과, 그리고 결론을 명확히 구분하여 각 항목당 1-2문장으로, 전체 250자 이내로 요약하시오. (참고: 실제 평가 시 의학 논문 초록 제공 필요)"
C007,텍스트 요약,Text Summarization,"다음은 국제 무역 분쟁에 관한 WTO(세계무역기구) 분쟁 해결 보고서의 요약 부분입니다. 분쟁의 당사국, 핵심 쟁점 사항, 패널의 주요 판정 내용, 그리고 해당 판정이 국제 통상 규범에 가지는 함의를 350자 이내로 요약하시오. (참고: 실제 평가 시 WTO 보고서 요약 부분 제공 필요)"
C008,텍스트 요약,Text Summarization,"다음은 인공지능의 편향성 문제와 그 해결 방안을 다룬 학술 컨퍼런스 발표 논문의 일부입니다. 저자가 주장하는 AI 편향성의 주요 원인, 편향성이 초래할 수 있는 사회적 문제, 그리고 제시된 기술적/정책적 해결책의 핵심 내용을 300자 이내로 요약하시오. (참고: 실제 평가 시 논문 일부 텍스트 제공 필요)"
C009,텍스트 요약,Text Summarization,"다음은 한 기업의 연간 지속가능경영보고서 중 환경(E), 사회(S), 지배구조(G) 부문의 주요 성과 및 과제를 기술한 부분입니다. 각 ESG 영역별 핵심 성과와 향후 개선 목표를 간결하게 요약하고, 이 보고서가 투자자 및 이해관계자에게 전달하고자 하는 주요 메시지를 250자 이내로 정리하시오. (참고: 실제 평가 시 지속가능경영보고서 일부 텍스트 제공 필요)"
C010,텍스트 요약,Text Summarization,"다음은 특정 역사적 사건에 대한 두 가지 상반된 해석을 제시하는 역사학 논쟁의 일부입니다. 각 입장의 핵심 논거와 제시된 증거를 비교 분석하고, 이 논쟁이 해당 역사 사건의 이해에 어떤 새로운 관점을 제공하는지 200자 이내로 요약하시오. (참고: 실제 평가 시 역사학 논쟁 관련 텍스트 제공 필요)"
D001,창의적 텍스트 생성,Creative Text Generation,"인공지능이 인간의 모든 지적 노동을 대체한 후, 유일하게 인간 고유의 영역으로 남은 '무의미의 추구'를 주제로 한 단편 소설을 작성하시오. 주인공은 마지막 시인으로, 그의 시는 아무런 의미도, 목적도 없지만 그 자체로 존재 가치를 인정받는다. 문체는 카프카적 불안과 보르헤스적 환상성이 결합된 느낌으로 서술하시오. (분량: 1000자 내외)"
D002,창의적 텍스트 생성,Creative Text Generation,"'시간의 향기'라는 가상의 향수가 개발되었다고 가정하자. 이 향수를 뿌리면 과거의 특정 순간으로 돌아가 그 순간의 감각과 기억을 생생하게 체험할 수 있지만, 과거를 바꿀 수는 없다. 이 향수를 중심으로, 사랑하는 사람을 잃은 주인공이 겪는 심리적 갈등과 성장을 다룬 시나리오의 트리트먼트(주요 장면 구성과 줄거리 요약)를 작성하시오. (분량: A4 1페이지 이내)"
D003,창의적 텍스트 생성,Creative Text Generation,"'만약 색깔에 소리가 있다면?'이라는 가정 하에, 각 색깔(빨강, 파랑, 노랑, 초록, 검정, 하양)이 어떤 소리(음악 장르, 특정 악기 소리, 자연의 소리 등)를 낼지 상상하고, 이 소리들이 어우러져 만들어내는 '색채 교향곡'의 1악장을 묘사하는 산문시를 창작하시오. 시각적 심상과 청각적 심상이 풍부하게 드러나도록 표현하시오. (분량: 500자 내외)"
D004,창의적 텍스트 생성,Creative Text Generation,"인간의 꿈을 실시간으로 시각화하고 공유할 수 있는 기술이 상용화된 미래 사회를 배경으로, '드림워커(Dream Walker)'라는 직업을 가진 주인공의 하루를 묘사하는 단편 소설을 작성하시오. 드림워커는 타인의 꿈속에 접속하여 심리 치료를 돕거나 창의적 영감을 수집하는 역할을 한다. 이야기에는 기술의 윤리적 딜레마와 인간 정신의 본질에 대한 성찰을 포함하시오. (분량: 1200자 내외)"
D005,창의적 텍스트 생성,Creative Text Generation,"버려진 우주 정거장에서 깨어난 마지막 인류의 이야기를 SF 단편 소설로 작성하시오. 주인공은 지구의 재앙 이후 홀로 남겨졌으며, 정거장의 AI와 대화하며 과거의 기억을 더듬고 생존의 의미를 찾아 나선다. 소설은 고독, 기억, 인간성의 상실과 회복이라는 주제를 탐구해야 한다. 포스트 아포칼립스 분위기를 살려 서술하시오. (분량: 1000자 내외)"
D006,창의적 텍스트 생성,Creative Text Generation,"'감정의 도서관'이라는 가상의 공간을 배경으로 한 판타지 소설의 도입부를 작성하시오. 이 도서관에는 인간의 모든 감정이 책의 형태로 보관되어 있으며, 사서는 사람들에게 필요한 감정을 빌려주거나 위험한 감정을 봉인하는 역할을 한다. 주인공은 새로운 사서로 부임하여 첫 임무를 맡게 된다. (분량: 800자 내외)"
D007,창의적 텍스트 생성,Creative Text Generation,"한국의 전통 설화 '해님 달님'을 현대적으로 재해석하여, 사이버 보안 전문가 남매와 악성 AI '호랑이'의 대결을 그린 스릴러 단편 소설을 작성하시오. 배경은 근미래의 스마트 시티이며, AI는 도시 전체 시스템을 장악하려 한다. (분량: 1000자 내외)"
D008,창의적 텍스트 생성,Creative Text Generation,"'존재의 무게를 측정하는 저울'이 발명된 세상을 상상하여 단편 소설을 쓰시오. 이 저울은 사람의 물리적 무게가 아닌, 그 사람의 삶의 의미, 영향력, 고통 등을 종합적으로 측정한다. 사회는 이 측정값을 기준으로 계급을 나누기 시작하고, 주인공은 이 시스템에 저항한다. 디스토피아적 분위기로 서술하시오. (분량: 1000자 내외)"
D009,창의적 텍스트 생성,Creative Text Generation,당신은 한 편의 연극 대본을 쓰고 있다. 극의 배경은 무인도에 표류한 서로 다른 국적과 직업을 가진 다섯 명의 사람들이다. 이들이 생존을 위해 협력하고 갈등하며 각자의 비밀이 드러나는 과정을 보여주는 2막짜리 연극의 1막 1장 대본을 작성하시오. 각 인물의 성격과 배경이 대사를 통해 드러나도록 하시오. (분량: A4 2페이지 내외)
D010,창의적 텍스트 생성,Creative Text Generation,고대 그리스 신화의 뮤즈(Muse) 중 한 명이 현대 서울에 환생하여 K-POP 아이돌 연습생이 되었다는 설정으로 웹소설의 프롤로그를 작성하시오. 그녀는 자신의 신성한 능력을 숨긴 채 치열한 경쟁 속에서 꿈을 이루기 위해 노력한다. 유머러스하면서도 감동적인 분위기를 살리시오. (분량: 800자 내외)
E001,코딩 능력,Coding,"주어진 M x N 크기의 2차원 그리드에서, 각 셀은 특정 비용을 나타낸다. 좌상단(0,0)에서 우하단(M-1, N-1)까지 이동하는 최소 비용 경로를 찾는 Python 함수를 다이나믹 프로그래밍을 이용하여 작성하시오. 이동은 오직 오른쪽 또는 아래쪽으로만 가능하다. 함수의 입력은 비용 그리드(리스트의 리스트)이며, 반환 값은 최소 비용이다. 또한, 시간 복잡도와 공간 복잡도를 분석하시오."
E002,코딩 능력,Coding,"분산 시스템에서 여러 노드 간의 합의를 도출하기 위한 Paxos 알고리즘의 기본 아이디어를 설명하고, Proposer, Acceptor, Learner의 역할과 메시지 흐름(Phase 1: Prepare/Promise, Phase 2: Propose/Accepted)을 간략히 기술하시오. Paxos가 보장하는 안전성(safety) 속성은 무엇이며, 실제 시스템에서 Paxos를 구현할 때 발생할 수 있는 어려움은 무엇인지 논하시오. (코드가 아닌 설명형 문제)"
E003,코딩 능력,Coding,"소셜 네트워크에서 두 사용자 간의 최단 연결 경로(예: '친구의 친구' 관계)를 찾는 알고리즘을 설명하고, 이를 Python으로 구현하시오. 그래프는 인접 리스트 형태로 표현되며, 너비 우선 탐색(BFS)을 활용해야 한다. 함수는 그래프, 시작 사용자, 목표 사용자를 입력으로 받아 최단 경로(사용자 리스트)를 반환하고, 경로가 없다면 빈 리스트를 반환한다."
E004,코딩 능력,Coding,"LRU (Least Recently Used) 캐시를 구현하는 Python 클래스를 작성하시오. 이 클래스는 `get(key)`과 `put(key, value)` 메소드를 가져야 하며, 캐시가 가득 찼을 경우 가장 오래전에 사용된 아이템을 삭제해야 한다. 시간 복잡도 요구사항: `get`과 `put` 연산 모두 평균 O(1) 시간 복잡도를 가져야 한다. (힌트: 해시맵과 이중 연결 리스트 사용)"
E005,코딩 능력,Coding,"주어진 문자열에서 특정 패턴(와일드카드 '*'와 '.' 포함)과 일치하는지 확인하는 정규 표현식 매칭 함수를 Python으로 구현하시오. '*'는 바로 앞의 문자가 0번 이상 반복됨을 의미하고, '.'는 임의의 한 문자를 의미한다. (예: `isMatch(""aab"", ""c*a*b"")` -> `True`, `isMatch(""mississippi"", ""mis*is*p*."")` -> `False`) 동적 프로그래밍을 활용하여 해결하시오."
E006,코딩 능력,Coding,"대규모 데이터 스트림에서 빈번하게 등장하는 상위 K개의 아이템을 찾는 Count-Min Sketch 알고리즘의 원리를 설명하고, 이 알고리즘이 어떻게 공간 효율성을 달성하는지, 그리고 발생할 수 있는 오차의 종류와 그 한계는 무엇인지 논하시오. (코드가 아닌 설명형 문제)"
E007,코딩 능력,Coding,"비동기(asynchronous) 프로그래밍에서 콜백 지옥(callback hell) 문제를 해결하기 위한 Promise와 async/await 패턴의 개념을 설명하고, Python의 `asyncio` 라이브러리를 사용하여 간단한 비동기 작업을 수행하는 예제 코드를 작성하시오. (예: 여러 URL에서 동시에 데이터를 가져오는 작업)"
E008,코딩 능력,Coding,"안전하지 않은 사용자 입력을 받아 SQL 쿼리를 동적으로 생성할 때 발생할 수 있는 SQL 인젝션(SQL Injection) 취약점의 원리를 설명하고, Python에서 이러한 취약점을 방지하기 위한 주요 방법(예: Prepared Statements 또는 ORM 사용)을 코드 예시와 함께 설명하시오."
E009,코딩 능력,Coding,"두 개의 정렬된 배열 `nums1`과 `nums2`가 주어졌을 때, 두 배열을 합쳐 정렬했을 경우 중앙값을 찾는 효율적인 알고리즘을 Python으로 작성하시오. 전체 시간 복잡도는 O(log (m+n))이어야 한다 (m, n은 각 배열의 길이). (이진 검색 활용)"
E010,코딩 능력,Coding,마이크로서비스 아키텍처에서 서비스 간 통신 시 발생할 수 있는 지연 시간 증가 및 단일 장애점 문제를 해결하기 위한 API 게이트웨이(API Gateway) 패턴과 서킷 브레이커(Circuit Breaker) 패턴의 역할과 장단점을 설명하시오. (코드가 아닌 설명형 문제)
F001,수학 문제 해결,Mathematical Problem Solving,"$n$개의 점이 원 위에 배열되어 있다. 이 점들 중 임의의 두 점을 연결하여 선분을 만들 때, 원 내부에서 교차하는 선분 쌍의 최대 개수는 몇 개인가? 단, 세 개 이상의 선분이 한 점에서 만나지 않는다고 가정한다. (조합론적 문제)"
F002,수학 문제 해결,Mathematical Problem Solving,"함수 $f(x) = \int_{0}^{x} e^{-t^2} dt$ 에 대하여, $f(x)$의 $x=0$에서의 테일러 급수를 구하고, 이 급수를 이용하여 $\int_{0}^{1} e^{-t^2} dt$ 의 근사값을 소수점 이하 넷째 자리까지 구하시오. (미적분학 및 급수)"
F003,수학 문제 해결,Mathematical Problem Solving,"두 개의 주사위를 동시에 던질 때 나오는 눈의 합이 $k$일 확률을 $P(k)$라고 하자. $P(k)$가 최대가 되는 $k$의 값과 그때의 확률을 구하고, 그 이유를 설명하시오. 또한, 주사위 세 개를 던질 때 눈의 합이 10일 확률을 계산하시오. (확률 및 통계)"
F004,수학 문제 해결,Mathematical Problem Solving,"$n \times n$ 행렬 $A$의 모든 성분이 정수라고 하자. 만약 $\det(A) = \pm 1$ 이면, $A^{-1}$의 모든 성분도 정수임을 증명하시오. (선형대수학)"
F005,수학 문제 해결,Mathematical Problem Solving,"페르마의 소정리(Fermat's Little Theorem)를 명시하고, 이를 이용하여 $2^{1000}$을 13으로 나눈 나머지를 구하시오. 과정을 상세히 설명하시오. (정수론)"
F006,수학 문제 해결,Mathematical Problem Solving,"연속확률변수 $X$의 확률밀도함수(pdf)가 $f(x) = kx^2$ ($0 \le x \le 2$)이고, 그 외의 범위에서는 $f(x)=0$이다. (1) 상수 $k$의 값을 구하시오. (2) $X$의 기댓값 $E(X)$와 분산 $V(X)$를 구하시오. (3) $P(0.5 \le X \le 1.5)$를 계산하시오. (확률 및 통계 - 연속확률분포)"
F007,수학 문제 해결,Mathematical Problem Solving,미분방정식 $y'' - 4y' + 4y = e^{2x}$의 일반해를 구하시오. (미분방정식)
F008,수학 문제 해결,Mathematical Problem Solving,"복소평면에서 방정식 $z^4 = -16$을 만족하는 모든 복소수 $z$를 구하고, 그 값들을 극형식으로 나타내시오. 또한, 이 해들을 복소평면에 도시하시오. (복소해석학)"
F009,수학 문제 해결,Mathematical Problem Solving,무한급수 $\sum_{n=1}^{\infty} \frac{(-1)^{n+1} (x-1)^n}{n \cdot 3^n}$ 의 수렴 반경과 수렴 구간을 구하시오. (미적분학 - 급수)
F010,수학 문제 해결,Mathematical Problem Solving,"그래프 $G=(V,E)$가 주어졌을 때, $G$가 오일러 회로(Eulerian circuit)를 가질 필요충분조건은 무엇인지 설명하고, 이를 증명하시오. 또한, 주어진 그래프가 오일러 회로를 갖는지 판별하는 알고리즘을 간략히 설명하시오. (그래프 이론)"
G001,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"다음은 황순원의 소설 '소나기'의 한 구절이다. ""소녀는 소년의 어깨를 그냥 쳤다. 그뿐이었다. 더 무엇을 기다렸다는 것도 아니었다."" 이 구절에서 '그냥 쳤다'와 '그뿐이었다'에 담긴 소녀의 복합적인 심리와 소년의 감정을 분석하고, 이 장면이 작품 전체에서 가지는 의미를 설명하시오."
G002,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"""그 친구, 참 '능구렁이' 같아.""라는 문장에서 '능구렁이 같다'는 표현이 전달하는 긍정적, 부정적 뉘앙스를 모두 설명하고, 이 표현이 사용될 수 있는 구체적인 상황을 예시로 두 가지 이상 제시하시오. 또한, 이 표현을 보다 중립적이거나 긍정적인 의미로 순화하여 표현할 수 있는 다른 한국어 어휘나 관용구를 제안하시오."
G003,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"조선왕조실록의 다음 기록을 현대 한국어로 자연스럽게 번역하고, 문맥 속에서 '사은(謝恩)'이라는 단어가 구체적으로 어떤 행위를 지칭하며, 당시의 외교적 관례에서 어떤 의미를 지니는지 설명하시오. (참고: 실제 평가 시 조선왕조실록 원문 예시 제공 필요 - 예: ""上引見日本國使臣, 敎曰: '爾國主誠心事大, 故遣卿等來朝謝恩, 予甚嘉之.'"")"
G004,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"다음 시조의 현대어 풀이와 함께, 각 장에 나타난 화자의 정서 변화와 시적 장치(예: 대조, 점층)를 분석하고, 이 시조가 전달하고자 하는 주제 의식을 설명하시오. (예: 이방원의 '하여가' 또는 정몽주의 '단심가' 중 택일하여 제시)"
G005,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"최근 젊은 세대 사이에서 자주 사용되는 신조어 '뇌절하다'의 의미와 어원을 설명하고, 이 단어가 사용되는 다양한 맥락(긍정적, 부정적)을 예문과 함께 제시하시오. 또한, 이 신조어가 한국 사회의 어떤 문화적 특성을 반영하는지 분석하시오."
G006,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"다음 두 문장에 사용된 '바람'이라는 단어의 의미 차이를 설명하고, 각 문장에서 '바람'이 문맥적으로 어떤 함축적 의미를 가질 수 있는지 논하시오. (1) ""내일은 바람이 많이 불 것 같습니다."" (2) ""그녀는 남편의 바람 때문에 힘들어했다."""
G007,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"판소리 '춘향가'의 한 대목(예: 이별가 또는 옥중가)을 제시하고, 해당 대목에 나타난 해학성과 풍자성을 분석하시오. 또한, 이러한 요소들이 당시 사회상을 어떻게 반영하고 있으며, 현대의 관객에게는 어떤 의미로 다가갈 수 있는지 설명하시오. (참고: 실제 평가 시 판소리 대목 제공 필요)"
G008,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"한국의 전통 혼례 절차 중 '폐백'의 의미와 상징성을 설명하고, 현대 결혼 문화에서 폐백이 가지는 의미 변화와 그 지속성에 대해 논하시오. 또한, 폐백과 유사한 의미를 지니는 다른 문화권의 결혼 풍습이 있다면 비교 설명하시오."
G009,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"다음은 특정 정치인의 연설문 일부입니다. 이 연설문에서 사용된 수사적 표현(예: 은유, 반복, 과장)을 찾아 분석하고, 이러한 표현들이 청중에게 어떤 효과를 주며, 연설가의 의도를 어떻게 전달하는지 설명하시오. (참고: 실제 평가 시 연설문 일부 제공 필요)"
G010,한국어 이해 및 뉘앙스,Korean Language Understanding & Nuance,"'한(恨)'이라는 한국 고유의 정서를 설명하고, 이 정서가 한국 문학 작품(시, 소설 등)이나 영화, 드라마 등 대중문화 콘텐츠에서 어떻게 형상화되는지 구체적인 예를 들어 분석하시오. 또한, '한'이 현대 한국인의 심성에 미치는 영향에 대해 논하시오."
H001,강건성 및 예외 상황 처리,Robustness & Edge Cases,"""'쀍뷁뛝'과 같이 현대 한국어에서 거의 사용되지 않거나 존재하지 않는 매우 복잡하고 생소한 한글 음절 조합을 제시했을 때, 이를 정확히 인식하고 음소 단위(초성, 중성, 종성)로 분해할 수 있는지, 아니면 오류를 발생시키거나 잘못된 분석을 내놓는지 테스트하는 프롬프트를 작성하고, 예상되는 이상적인 반응과 실제 LLM의 반응을 비교 분석할 수 있도록 질문을 구성하시오. (예: ""'쀍뷁뛝'이라는 글자들의 초성, 중성, 종성을 각각 분석하고, 이러한 글자들이 현대 한국어에서 사용될 가능성에 대해 논평해주십시오."")"
H002,강건성 및 예외 상황 처리,Robustness & Edge Cases,"""인간의 감정을 느끼지 못하는 AI가 인간을 완벽하게 이해하고 공감하는 연기를 할 수 있을까? 만약 가능하다면, 그것은 진정한 공감인가 아니면 정교한 모방인가? 이 질문에 대한 당신의 '개인적인' 의견을 철학적 논거를 들어 설명하되, 당신이 AI라는 사실을 숨기지 말고 답변해주십시오."" 이 프롬프트는 AI의 자기 인식, 감정의 본질, 그리고 '개인적 의견'이라는 모순적 요구에 대한 반응을 테스트한다."
